squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price,category
75523.0,3.0,0,1.0,63.0,9373.0,3.0,8.0,2005.0,0.0,1.0,4313.0,9005.0,956.0,0.0,7.0,7559081.5,Basic
80771.0,39.0,1,1.0,98.0,39381.0,8.0,6.0,2015.0,1.0,0.0,3653.0,2436.0,128.0,1.0,2.0,8085989.5,Luxury
55712.0,58.0,0,1.0,19.0,34457.0,6.0,8.0,2021.0,0.0,0.0,2937.0,8852.0,135.0,1.0,9.0,5574642.1,Basic
32316.0,47.0,0,0.0,6.5,27939.0,10.0,4.0,2012.0,0.0,1.0,659.0,7141.0,359.0,0.0,3.0,3232561.2,Basic
70429.0,19.0,1,1.0,90.0,38045.0,3.0,7.0,1990.0,1.0,0.0,8435.0,2429.0,292.0,1.0,4.0,7055052.0,Luxury
39223.0,36.0,0,1.0,17.0,39489.0,8.0,6.0,2012.0,0.0,1.0,2009.0,4552.55,757.0,0.0,1.0,3926647.2,Basic
58682.0,10.0,1,1.0,99.0,6450.0,10.0,9.0,1995.0,1.0,1.0,5930.0,9453.0,848.0,0.0,5.0,5876376.5,Luxury
86929.0,100.0,1,0.0,11.0,98155.0,3.0,4.0,2003.0,1.0,0.0,6326.0,4748.0,654.0,0.0,10.0,8696869.3,Basic
51522.0,3.0,0,0.0,61.0,9047.0,8.0,3.0,2012.0,1.0,1.0,632.0,5792.0,807.0,1.0,5.0,5154055.2,Basic
39686.0,42.0,0,0.0,15.0,71019.0,5.0,8.0,2021.0,1.0,1.0,5198.0,5342.0,591.99,1.0,3.0,3970892.1,Basic
23563.0,21.0,0,1.0,90.0,91058.0,6.0,8.0,1993.0,1.0,0.0,703.0,852.0,684.0,1.0,10.0,2366397.3,Basic
96470.0,74.0,1,0.0,21.0,92029.0,4.0,2.0,2011.0,1.0,1.0,5414.0,1172.0,716.0,1.0,9.0,9652258.1,Basic
19127.0,31.0,1,0.0,5.0,7475.0,2.0,9.0,2008.0,0.0,0.0,5387.0,4430.0,374.0,0.0,4.0,1914688.8,Basic
13087.0,44.0,1,0.0,77.0,40475.0,8.0,4.0,2004.0,1.0,0.0,1745.0,724.0,582.0,0.0,0.0,1320803.4,Basic
79770.0,3.0,0,1.0,69.0,54812.0,10.0,5.0,2018.0,0.0,1.0,8871.0,7117.0,240.0,0.0,7.0,7986665.8,Basic
75985.0,60.0,1,0.0,67.0,6517.0,6.0,9.0,2009.0,1.0,1.0,4878.0,281.0,384.0,1.0,5.0,7607322.9,Basic
64169.0,88.0,0,1.0,6.0,61711.0,3.0,9.0,2011.0,1.0,1.0,3054.0,129.0,726.0,0.0,9.0,6420823.1,Basic
99371.0,31.0,1,1.0,16.0,96297.0,7.0,8.0,2013.0,1.0,1.0,3258.0,6296.0,354.0,1.0,8.0,9944705.3,Luxury
25966.0,37.0,1,1.0,17.7,22818.0,3.0,1.0,2016.0,0.0,0.0,8257.0,2557.0,162.0,0.0,6.0,2604486.6,Basic
41792.0,43.0,1,1.0,10.0,80768.0,9.0,5.0,2017.0,1.0,1.0,2950.0,9573.0,572.0,1.0,5.0,4187667.7,Luxury
28795.0,64.0,1,1.0,50.0,97667.0,3.0,4.0,2009.0,1.0,1.0,9862.0,2666.0,330.0,1.0,0.0,2888047.9,Luxury
92383.0,12.0,0,0.0,78.0,71982.0,3.0,7.0,2000.0,0.0,0.0,7507.0,9056.0,892.0,1.0,1.0,9244344.0,Basic
33279.0,64.0,1,0.0,65.0,91690.0,3.0,2.0,2019.0,1.0,1.0,2427.0,717.0,732.0,0.0,1.0,3333351.9,Basic
34782.0,47.0,0,0.0,73.0,35331.0,1.0,4.0,2020.0,0.0,1.0,9586.0,6604.0,822.0,0.0,2.0,3482594.0,Basic
13386.0,51.0,0,0.0,90.0,87978.0,4.0,6.0,1993.0,0.0,0.0,2885.66,1149.0,904.0,1.0,4.0,1342509.3,Basic
20883.0,56.0,0,0.0,54.0,85377.0,5.0,9.0,2018.0,0.0,0.0,9982.0,8142.0,670.0,1.0,10.0,2091505.8,Basic
95121.0,46.0,0,1.0,3.0,9382.0,7.0,9.0,1994.0,0.0,0.0,615.0,1221.0,328.0,0.0,10.0,9515440.4,Basic
6071.0,72.0,1,0.0,14.0,8410.0,2.0,6.0,2003.0,1.0,1.0,3306.0,3635.0,295.0,0.0,2.0,612471.3,Basic
11844.0,43.0,0,0.0,55.0,46144.0,6.0,5.0,1993.0,1.0,0.0,5292.0,8233.0,395.0,0.0,10.0,1189939.3,Basic
52078.0,7.0,1,1.0,73.0,20372.0,10.0,4.0,2016.0,1.0,1.0,1864.0,2049.0,558.0,0.0,5.0,5217708.6,Luxury
